id,question,recommendationid,game
172440169,What are the chances of getting a false ban in this game?,172440169,cs2
172440169,Is the game getting regular updates with new content?,172440169,cs2
172440169,"Are all game modes available, including competitive and hostage modes?",172440169,cs2
172440169,How does the game's net code and server performance impact gameplay?,172440169,cs2
172440169,Is there a ranking system in the game that takes cheating into account?,172440169,cs2
171726642,What kind of gameplay elements lead to frustration with the game?,171726642,cs2
171726642,Who would you say the game is not suitable for based on your experience?,171726642,cs2
171726642,Was there anything redeeming about the game's mechanics or story?,171726642,cs2
171726642,"Would you recommend this game to anyone, and how do you justify a 10/10 recommendation?",171726642,cs2
171726642,Do you think a lack of experience with this type of game could have contributed to your frustration?,171726642,cs2
171674861,Should I expect a high level of competition from other players that could lead to frustration?,171674861,cs2
171674861,Will I be able to communicate effectively with other players due to the language supported in the game?,171674861,cs2
171674861,Is the game's difficulty actually a challenge or is it more about dumbing down players?,171674861,cs2
171674861,Is the game's community toxic and not suitable for players with lower IQs?,171674861,cs2
171674861,Do I have to prioritize my real-life income over buying a game that received a negative review?,171674861,cs2
172213464,How would you describe the game's community and atmosphere?,172213464,cs2
172213464,What is the level of competitive expertise required to play this game?,172213464,cs2
172213464,How would you rate the game's map design and layout?,172213464,cs2
172213464,Is the game more enjoyable playing with friends or solo?,172213464,cs2
172213464,What are the most frustrating aspects of the game in your opinion?,172213464,cs2
172485882,How does the game's addition of sexual content affect the overall quality of the gameplay?,172485882,cs2
172485882,Will the inclusion of sexual content make the game more engaging and immersive for players?,172485882,cs2
172485882,Do you think the inclusion of sex in the game detracts from its overall quality?,172485882,cs2
172485882,Would you be more likely to buy the game if it had sexual content?,172485882,cs2
172485882,Do you think the game's lack of sexual content is a significant drawback?,172485882,cs2
171910429,Will I experience frame rate issues with this game?,171910429,cs2
171910429,Is the game well-optimized for my computer?,171910429,cs2
171910429,Will I miss any fun features from the original CS:GO?,171910429,cs2
171910429,Is the game still being actively updated and supported?,171910429,cs2
171910429,Are the changes from CS:GO significant and impactful?,171910429,cs2
172487164,Has the game's transition to free-to-play led to a decline in its player base?,172487164,cs2
172487164,"Are there many cheaters in the game, and does it affect the gameplay?",172487164,cs2
172487164,"Is the game becoming too competitive for new players, as with CS:GO?",172487164,cs2
172487164,"Are there many players who play the game for thousands of hours, making it difficult for new players to compete?",172487164,cs2
172487164,Is it mostly the experienced players who have an unfair advantage in the game?,172487164,cs2
172892998,Will there be any features to prevent toxic players from harassing new players?,172892998,cs2
172892998,What is the typical player behavior like in competitive mode?,172892998,cs2
172892998,Are there any tutorials or guides to help new players improve?,172892998,cs2
172892998,Is there a way to play without experiencing toxicity?,172892998,cs2
172892998,What is the game's approach to handling player behavior and community issues?,172892998,cs2
173278272,Are the graphics good?,173278272,cs2
173278272,Is the gameplay enjoyable?,173278272,cs2
173278272,Is the audio pleasing?,173278272,cs2
173278272,Is the game suitable for adults?,173278272,cs2
173278272,Is the game grind-heavy?,173278272,cs2
171455944,"What are the mechanics behind the game's competitive playlists, and how do they impact my experience?",171455944,cs2
171455944,"Are there any plans to re-implement anti-cheat measures in the game, and what is the timeline for this?",171455944,cs2
171455944,"How does the game handle toxicity and disruptive players, and what measures are in place to prevent this?",171455944,cs2
171455944,"Are there any game modes or features that I can play with friends, and what is the overall social aspect of the game?",171455944,cs2
171455944,"Has the game undergone any significant updates or changes since its release, and what impact have these had on the game's performance?",171455944,cs2
172972685,Has the game been plagued by hackers and cheaters?,172972685,cs2
172972685,What is the state of the game's anti-cheat system?,172972685,cs2
172972685,"Is the game still earning revenue and if not, why not?",172972685,cs2
172972685,"How does the game's developer, Valve, prioritize anti-cheat measures?",172972685,cs2
172972685,Would you recommend this game despite its cheating issues?,172972685,cs2
172318115,Are there many fake accounts or scammers in the game?,172318115,cs2
172318115,Can I trust Valve or Steam to protect my account from scams?,172318115,cs2
172318115,Would you recommend this game to others despite its problems?,172318115,cs2
172318115,What specifically do you think the developers could do to improve the game?,172318115,cs2
172318115,Is this game's multiplayer mode affected by a high number of cheaters?,172318115,cs2
172083758,What did the player find frustrating about the game?,172083758,cs2
172083758,Why did the player leave a negative review despite enjoying the game?,172083758,cs2
172083758,How would the player recommend improving the game's ranking system?,172083758,cs2
172083758,Can a player still have fun playing the game without being ranked?,172083758,cs2
172083758,Are there any major bugs or issues in the game that the player experienced?,172083758,cs2
173268322,Is this game a spin-off of a more popular game?,173268322,cs2
173268322,Is the game a free-to-play title?,173268322,cs2
173268322,Will I have access to steam achievements and features?,173268322,cs2
173268322,Does the game have a strong online multiplayer component?,173268322,cs2
173268322,"Are there any potential issues with balance or fairness in the game, based on the reviewer's comments?",173268322,cs2
173020243,Will this game still receive updates to keep up with current technology?,173020243,cs2
173020243,Are there any plans to fix the bugs mentioned in this review?,173020243,cs2
173020243,"How is the game's online multiplayer experience, considering the reviewer mentions 'shitty servers'?",173020243,cs2
173020243,Can I expect any improvements to the game's graphics over time?,173020243,cs2
173020243,Does the game's lack of updates suggest a decline in quality or support?,173020243,cs2
173088552,What is the main issue with the game that the reviewer is highlighting?,173088552,cs2
173088552,Is the game's difficulty due to a learning curve or is it actually a poorly designed game?,173088552,cs2
173088552,Are there any graphical or technical issues mentioned in the review?,173088552,cs2
173088552,Would you still recommend playing the game to a friend?,173088552,cs2
173088552,Is the game's context and story easy to understand?,173088552,cs2
172304496,Will I have access to all the classic maps I love?,172304496,cs2
172304496,How will the game handle cheaters and competitive match-making?,172304496,cs2
172304496,Is the game still being actively supported and updated?,172304496,cs2
172304496,"What are the biggest differences between this game and its predecessor, CS:GO?",172304496,cs2
172304496,Are there any redeeming qualities about this game that I'm missing?,172304496,cs2
172336119,Is the game plagued by cheaters?,172336119,cs2
172336119,Is competitive play affected by cheaters?,172336119,cs2
172336119,Will I encounter spinbotting in the game?,172336119,cs2
172336119,How will the game's anti-cheat measures affect my gaming experience?,172336119,cs2
172336119,Will I have to invest time in identifying and dealing with cheaters?,172336119,cs2
172493280,Is jumping a key mechanic in the game?,172493280,cs2
172493280,Is the game's interface easy to navigate?,172493280,cs2
172493280,Are there any notable changes to the game's mechanics?,172493280,cs2
172493280,How much can I expect to spend on the game?,172493280,cs2
172493280,What kind of punishments can I expect to receive for certain actions?,172493280,cs2
172431740,Is this game a copycat of another well-known game?,172431740,cs2
172431740,How does this game compare to the original in terms of gameplay?,172431740,cs2
172431740,What specific aspects of this game feel off and wrong to the reviewer?,172431740,cs2
172431740,Can the player expect a similar experience to another game they're familiar with?,172431740,cs2
172431740,Are there any significant differences between this game and its supposed copycat?,172431740,cs2
